# ts rotation(deg) translation(m)
403.006 2.23232 0.678454
403.006 2.10106 0.776888
403.006 2.02087 0.967381
403.006 1.87965 1.19561
403.006 1.90718 1.4584
403.356 2.17071 0.876413
403.356 2.08577 0.756148
403.356 2.17242 0.748718
403.356 2.18074 0.847825
403.356 2.25921 1.04362
403.356 2.30959 1.27984
403.356 2.26 1.54077
403.706 2.4319 0.938186
403.706 2.37782 0.820149
403.706 2.22604 0.813128
403.706 2.06873 0.909632
403.706 1.94828 1.08743
403.706 2.01769 1.32499
403.706 1.90058 1.5754
404.056 2.22675 1.01427
404.056 2.18777 0.89125
404.056 2.09146 0.872286
404.056 2.10028 0.96709
404.056 2.08341 1.13356
404.056 2.02314 1.36151
404.056 2.03182 1.61794
404.406 2.0973 1.0649
404.406 2.11322 0.950479
404.406 2.13137 0.93128
404.406 2.15719 1.02266
404.406 2.26697 1.19701
404.406 2.34386 1.42374
404.406 2.29982 1.6801
404.756 2.21349 1.13014
404.756 2.27313 1.01277
404.756 2.28349 0.993386
404.756 2.31084 1.08107
404.756 2.31775 1.24642
404.756 2.48115 1.47514
404.756 2.61089 1.73263
405.106 2.59759 1.19135
405.106 2.55787 1.08262
405.106 2.32997 1.06356
405.106 2.2873 1.13965
405.106 2.17498 1.29019
405.106 2.15433 1.50399
405.106 2.07651 1.75077
405.456 2.19496 1.24367
405.456 2.21518 1.14016
405.456 2.2845 1.11939
405.456 2.31257 1.19188
405.456 2.42308 1.34758
405.456 2.50534 1.55896
405.456 2.57149 1.80726
405.806 2.46191 1.3031
405.806 2.37174 1.19971
405.806 2.30937 1.18339
405.806 2.15197 1.2495
405.806 1.99603 1.39381
405.806 1.91109 1.60138
405.806 1.84526 1.84136
406.156 2.04879 1.36522
406.156 2.20468 1.27641
406.156 2.19129 1.25516
406.156 2.33187 1.33072
406.156 2.31774 1.4683
406.156 2.19137 1.66331
406.156 2.15422 1.8992
406.506 2.16454 1.39813
406.506 1.99252 1.30653
406.506 1.94355 1.30535
406.506 1.91678 1.37174
406.506 1.88062 1.51084
406.506 1.76766 1.70145
406.506 1.59375 1.93162
406.856 1.95152 1.46068
406.856 1.86505 1.36328
406.856 1.83101 1.35486
406.856 1.76424 1.41902
406.856 1.65422 1.54873
406.856 1.58715 1.74183
406.856 1.51946 1.96284
407.206 1.76481 1.49461
407.206 1.78652 1.40939
407.206 1.77001 1.39414
407.206 1.80676 1.46738
407.206 1.81378 1.59784
407.206 1.78871 1.7835
407.506 1.90807 1.54643
407.506 1.89915 1.45372
407.506 1.85328 1.44011
407.506 1.8223 1.49999
407.506 1.80873 1.62584
