# ts rotation(%) translation(%)
393.157 0.0238116 0.0128437
393.157 0.0265224 0.0158952
393.507 0.019597 0.0152135
393.507 0.0194934 0.0137652
393.507 0.0156133 0.00996648
393.507 0.017176 0.00940933
393.507 0.018988 0.0105582
393.507 0.0202025 0.0127918
393.507 0.0224518 0.0160459
393.857 0.0166121 0.014376
393.857 0.0163698 0.0129174
393.857 0.0142289 0.0099843
393.857 0.0123921 0.00886397
393.857 0.0132949 0.00992744
393.857 0.0137458 0.0114316
393.857 0.017288 0.0145867
394.207 0.0112238 0.014038
394.207 0.011607 0.0125804
394.207 0.0123107 0.0113017
394.207 0.013303 0.00980623
394.207 0.0146351 0.00990074
394.207 0.0161661 0.0112469
394.207 0.0176272 0.0126033
394.607 0.0117189 0.0154342
394.607 0.011337 0.0109426
394.607 0.0112363 0.0105885
394.607 0.0114076 0.0103819
394.607 0.0130875 0.0096962
394.607 0.0158341 0.0105911
394.607 0.0185243 0.0129424
394.607 0.0213679 0.0137768
395.007 0.0151305 0.0160354
395.007 0.0131984 0.010286
395.007 0.0105758 0.00980009
395.007 0.0106924 0.00940139
395.007 0.0135632 0.0103076
395.007 0.0160169 0.011438
395.007 0.0196354 0.0138802
395.007 0.0233556 0.0163867
395.407 0.0161515 0.0117372
395.407 0.0133229 0.00883669
395.407 0.0107012 0.00774857
395.407 0.0107908 0.00866473
395.407 0.0144537 0.0110281
395.407 0.0188587 0.0127995
395.407 0.022511 0.01737
395.407 0.0270842 0.02042
395.407 0.0371746 0.0298238
395.857 0.0210112 0.0152205
395.857 0.0172308 0.0107439
395.857 0.0124154 0.00911367
395.857 0.0115129 0.00853847
395.857 0.0160051 0.0104268
395.857 0.0214631 0.0151724
395.857 0.0267334 0.0209418
395.857 0.0327596 0.0254234
395.857 0.0448683 0.0374374
396.307 0.0260155 0.0184435
396.307 0.0202236 0.0130888
396.307 0.0152152 0.00929534
396.307 0.0134551 0.0085074
396.307 0.0178047 0.012001
396.307 0.0240593 0.0182788
396.307 0.0294802 0.0236077
396.307 0.0360718 0.0302089
396.307 0.0474421 0.0431921
396.757 0.0302474 0.0236678
396.757 0.0237249 0.0173344
396.757 0.0174376 0.0120042
396.757 0.016715 0.0100874
396.757 0.0223026 0.0148832
396.757 0.0304269 0.0220012
